timestamp_ms,raw_value,leads_off,bpm
1771381784150,370,0,
1771381784154,369,0,
1771381784158,365,0,
1771381784162,365,0,
1771381784170,361,0,
1771381784174,355,0,
1771381784178,352,0,
1771381784182,350,0,
1771381784191,344,0,
1771381784195,340,0,
1771381784199,336,0,
1771381784207,330,0,
1771381784211,325,0,
1771381784215,323,0,
1771381784219,318,0,
1771381784227,313,0,
1771381784231,311,0,
1771381784236,307,0,
1771381784240,301,0,
1771381784248,302,0,
1771381784252,300,0,
1771381784256,296,0,
1771381784264,296,0,
1771381784268,296,0,
1771381784273,294,0,
1771381784277,293,0,
1771381784285,294,0,
1771381784289,295,0,
1771381784293,297,0,
1771381784297,304,0,
1771381784305,310,0,
1771381784309,313,0,
1771381784313,317,0,
1771381784318,325,0,
1771381784326,329,0,
1771381784330,336,0,
1771381784334,341,0,
1771381784342,342,0,
1771381784346,346,0,
1771381784350,349,0,
1771381784354,348,0,
1771381784363,349,0,
1771381784367,352,0,
1771381784371,352,0,
1771381784375,351,0,
1771381784383,353,0,
1771381784387,352,0,
1771381784391,351,0,
1771381784399,353,0,
1771381784404,355,0,
1771381784408,352,0,
1771381784412,355,0,
1771381784420,356,0,
1771381784424,354,0,
1771381784428,355,0,
1771381784432,354,0,
1771381784440,354,0,
1771381784445,354,0,
1771381784449,354,0,
1771381784453,353,0,
1771381784461,354,0,
1771381784465,354,0,
1771381784469,353,0,
1771381784477,352,0,
1771381784481,354,0,
1771381784485,353,0,
1771381784490,352,0,
1771381784498,354,0,
1771381784502,353,0,
1771381784506,352,0,
1771381784510,352,0,
1771381784518,352,0,
1771381784522,351,0,
1771381784526,351,0,
1771381784535,351,0,
1771381784539,351,0,
1771381784543,350,0,
1771381784547,351,0,
1771381784555,352,0,
1771381784559,349,0,
1771381784563,350,0,
1771381784567,348,0,
1771381784576,343,0,
1771381784580,345,0,
1771381784584,346,0,
1771381784592,343,0,
1771381784596,343,0,
1771381784600,340,0,
1771381784604,333,0,
1771381784612,321,0,
1771381784616,314,0,
1771381784621,317,0,
1771381784625,322,0,
1771381784633,327,0,
1771381784637,329,0,
1771381784641,329,0,
1771381784645,335,0,
1771381784654,339,0,
1771381784657,340,0,
1771381784662,345,0,
1771381784670,346,0,
1771381784674,344,0,
1771381784678,345,0,
1771381784682,346,0,
1771381784690,345,0,
1771381784694,345,0,
1771381784698,346,0,
1771381784703,347,0,
1771381784711,346,0,
1771381784715,347,0,
1771381784719,347,0,
1771381784727,345,0,
1771381784731,347,0,
1771381784735,358,0,
1771381784739,364,0,
1771381784748,358,0,
1771381784752,322,0,
1771381784756,257,0,
1771381784760,149,0,
1771381784764,12,0,
1771381784768,0,0,
1771381784772,0,0,
1771381784776,0,0,
1771381784780,15,0,
1771381784784,134,0,
1771381784789,301,0,
1771381784797,372,0,
1771381784801,368,0,
1771381784805,358,0,
1771381784809,363,0,
1771381784817,372,0,
1771381784821,378,0,
1771381784825,382,0,
1771381784829,383,0,
1771381784838,381,0,
1771381784842,378,0,
1771381784846,377,0,
1771381784850,377,0,
1771381784858,376,0,
1771381784862,374,0,
1771381784866,373,0,
1771381784875,369,0,
1771381784879,366,0,
1771381784883,365,0,
1771381784887,363,0,
1771381784895,362,0,
1771381784899,358,0,
1771381784903,355,0,
1771381784907,353,0,
1771381784915,349,0,
1771381784920,344,0,
1771381784924,340,0,
1771381784932,335,0,
1771381784936,331,0,
1771381784941,327,0,
1771381784944,323,0,
1771381784952,319,0,
1771381784956,315,0,
1771381784961,308,0,
1771381784965,306,0,
1771381784973,302,0,
1771381784977,300,0,
1771381784981,298,0,
1771381784989,295,0,
1771381784993,293,0,
1771381784997,292,0,
1771381785001,289,0,
1771381785010,288,0,
1771381785014,289,0,
1771381785018,290,0,
1771381785022,291,0,
1771381785030,294,0,
1771381785034,302,0,
1771381785038,307,0,
1771381785043,310,0,
1771381785051,316,0,
1771381785055,323,0,
1771381785059,330,0,
1771381785067,335,0,
1771381785071,339,0,
1771381785075,343,0,
1771381785080,346,0,
1771381785088,348,0,
1771381785092,350,0,
1771381785096,351,0,
1771381785100,352,0,
1771381785108,353,0,
1771381785112,353,0,
1771381785116,355,0,
1771381785124,356,0,
1771381785128,355,0,
1771381785133,355,0,
1771381785137,355,0,
1771381785145,356,0,
1771381785149,357,0,
1771381785153,355,0,
1771381785157,354,0,
1771381785165,354,0,
1771381785169,354,0,
1771381785174,354,0,
1771381785178,355,0,
1771381785186,356,0,
1771381785190,354,0,
1771381785194,353,0,
1771381785202,355,0,
1771381785206,355,0,
1771381785210,355,0,
1771381785214,353,0,
1771381785223,351,0,
1771381785227,352,0,
1771381785231,352,0,
1771381785235,351,0,
1771381785243,351,0,
1771381785248,353,0,
1771381785251,353,0,
1771381785260,351,0,
1771381785264,350,0,
1771381785268,351,0,
1771381785272,349,0,
1771381785280,349,0,
1771381785284,350,0,
1771381785288,348,0,
1771381785292,349,0,
1771381785300,348,0,
1771381785305,346,0,
1771381785309,346,0,
1771381785313,345,0,
1771381785321,344,0,
1771381785325,344,0,
1771381785329,344,0,
1771381785337,343,0,
1771381785341,338,0,
1771381785346,333,0,
1771381785350,325,0,
1771381785358,316,0,
1771381785362,316,0,
1771381785366,321,0,
1771381785370,326,0,
1771381785378,330,0,
1771381785382,330,0,
1771381785386,332,0,
